timestamp,chain,value
2024.11,ajuna,1349882
2024.11,bifrost-polkadot,772549
2024.11,hydration,91285244
2024.11,kilt,11212173
2024.11,moonbeam,177599
2024.11,nexus,1090833
2024.11,polimec,1326270
2024.11,unique,127426
2024.11,ajuna,1349882
2024.11,bifrost-polkadot,772549
2024.11,hydration,91285244
2024.11,kilt,11212173
2024.11,moonbeam,177599
2024.11,nexus,1090833
2024.11,polimec,1326270
2024.11,unique,127426
2024.11,ajuna,1349882
2024.11,bifrost-polkadot,772549
2024.11,hydration,91285244
2024.11,kilt,11212173
2024.11,moonbeam,177599
2024.11,nexus,1090833
2024.11,polimec,1326270
2024.11,unique,127426
2024.11,ajuna,1349882
2024.11,bifrost-polkadot,772549
2024.11,hydration,91285244
2024.11,kilt,11212173
2024.11,moonbeam,177599
2024.11,nexus,1090833
2024.11,polimec,1326270
2024.11,unique,127426
2024.11,ajuna,1349882
2024.11,bifrost-polkadot,772549
2024.11,hydration,91285244
2024.11,kilt,11212173
2024.11,moonbeam,177599
2024.11,nexus,1090833
2024.11,polimec,1326270
2024.11,unique,127426
